sub_region_id,sub_region
1,Western Asia
2,Southern Asia
3,Sub-Saharan Africa
4,Northern Europe
5,Southern Europe
6,Latin America and the Caribbean
7,Western Europe
8,Eastern Europe
9,South-eastern Asia
10,Northern America
11,Melanesia
12,Eastern Asia
13,Northern Africa
14,Australia and New Zealand
15,Central Asia
16,Polynesia
17,
18,Micronesia
